trade_id,ticker,quantity,price,timestamp,asset_class
T00001,AAPL,100,190.5,2025-07-26T10:00:00.030Z,fixed_income
T00002,GOOG,50,1500.2,2025-07-26T10:00:01.070Z,equity
T00003,MSFT,200,300.05,2025-07-26T10:00:02.000Z,equity
T00004,AMZN,75,120.0,2025-07-26T10:00:03.150Z,fixed_income
T00005,TSLA,21,850.75,2025-07-26T10:00:04.000Z,fx
T00006,NVDA,10,1000.0,2025-07-26T10:00:05.030Z,equity
T00007,META,30,250.0,2025-07-26T10:00:06.070Z,equity
T00008,NFLX,40,600.0,2025-07-26T10:00:07.030Z,equity
T00009,AMD,150,150.0,2025-07-26T10:00:08.070Z,fixed_income
T00010,INTC,200,45.0,2025-07-26T10:00:09.030Z,equity
T00011,CRM,50,220.0,2025-07-26T10:00:10.070Z,fixed_income
T00012,ADBE,25,550.0,2025-07-26T10:00:11.030Z,fixed_income
T00013,PYPL,80,90.0,2025-07-26T10:00:12.070Z,fixed_income
T00014,CMCSA,120,40.0,2025-07-26T10:00:13.030Z,equity
T00015,SBUX,70,100.0,2025-07-26T10:00:14.070Z,fixed_income
T00016,MSFT,100,300.0,2025-07-26T10:00:15.030Z,fx
T00017,GOOG,60,1600.0,2025-07-26T10:00:16.070Z,equity
T00018,AAPL,150,195.0,2025-07-26T10:00:17.030Z,equity
T00019,TSLA,25,860.0,2025-07-26T10:00:18.070Z,equity
T00020,NVDA,12,1050.0,2025-07-26T10:00:19.030Z,equity
T00021,AAPL,100,190.5,2025-07-26T10:00:20.030Z,equity
T00022,GOOG,50,1500.2,2025-07-26T10:00:21.070Z,fixed_income
T00023,MSFT,200,300.05,2025-07-26T10:00:22.000Z,fixed_income
T00024,AMZN,75,120.0,2025-07-26T10:00:23.150Z,equity
T00025,TSLA,21,850.75,2025-07-26T10:00:24.000Z,fixed_income
T00026,NVDA,10,1000.0,2025-07-26T10:00:25.030Z,equity
T00027,META,30,250.0,2025-07-26T10:00:26.070Z,fixed_income
T00028,NFLX,40,600.0,2025-07-26T10:00:27.030Z,fixed_income
T00029,AMD,150,150.0,2025-07-26T10:00:28.070Z,fixed_income
T00030,INTC,200,45.0,2025-07-26T10:00:29.030Z,fixed_income
T00031,CRM,50,220.0,2025-07-26T10:00:30.070Z,fx
T00032,ADBE,25,550.0,2025-07-26T10:00:31.030Z,equity
T00033,PYPL,80,90.0,2025-07-26T10:00:32.070Z,fx
T00034,CMCSA,120,40.0,2025-07-26T10:00:33.030Z,fixed_income
T00035,SBUX,70,100.0,2025-07-26T10:00:34.070Z,fx
T00036,MSFT,100,300.0,2025-07-26T10:00:35.030Z,equity
T00037,GOOG,60,1600.0,2025-07-26T10:00:36.070Z,equity
T00038,AAPL,150,195.0,2025-07-26T10:00:37.030Z,fixed_income
T00039,TSLA,25,860.0,2025-07-26T10:00:38.070Z,fx
T00040,NVDA,12,1050.0,2025-07-26T10:00:39.030Z,fx
T00041,AAPL,100,190.5,2025-07-26T10:00:40.030Z,fx
T00042,GOOG,50,1500.2,2025-07-26T10:00:41.070Z,equity
T00043,MSFT,200,300.05,2025-07-26T10:00:42.000Z,equity
T00044,AMZN,75,120.0,2025-07-26T10:00:43.150Z,fx
T00045,TSLA,21,850.75,2025-07-26T10:00:44.000Z,equity
T00046,NVDA,10,1000.0,2025-07-26T10:00:45.030Z,equity
T00047,META,30,250.0,2025-07-26T10:00:46.070Z,fx
T00048,NFLX,40,600.0,2025-07-26T10:00:47.030Z,equity
T00049,AMD,150,150.0,2025-07-26T10:00:48.070Z,fx
T00050,INTC,200,45.0,2025-07-26T10:00:49.030Z,fx
T00051,CRM,50,220.0,2025-07-26T10:00:50.070Z,fixed_income
T00052,ADBE,25,550.0,2025-07-26T10:00:51.030Z,fx
T00053,PYPL,80,90.0,2025-07-26T10:00:52.070Z,equity
T00054,CMCSA,120,40.0,2025-07-26T10:00:53.030Z,fixed_income
T00055,SBUX,70,100.0,2025-07-26T10:00:54.070Z,fx
T00056,MSFT,100,300.0,2025-07-26T10:00:55.030Z,fixed_income
T00057,GOOG,60,1600.0,2025-07-26T10:00:56.070Z,equity
T00058,AAPL,150,195.0,2025-07-26T10:00:57.030Z,fx
T00059,TSLA,25,860.0,2025-07-26T10:00:58.070Z,equity
T00060,NVDA,12,1050.0,2025-07-26T10:00:59.030Z,fixed_income
T00061,AAPL,100,190.5,2025-07-26T10:01:00.030Z,fx
T00062,GOOG,50,1500.2,2025-07-26T10:01:01.070Z,fixed_income
T00063,MSFT,200,300.05,2025-07-26T10:01:02.000Z,fixed_income
T00064,AMZN,75,120.0,2025-07-26T10:01:03.150Z,fx
T00065,TSLA,21,850.75,2025-07-26T10:01:04.000Z,fixed_income
T00066,NVDA,10,1000.0,2025-07-26T10:01:05.030Z,equity
T00067,META,30,250.0,2025-07-26T10:01:06.070Z,fixed_income
T00068,NFLX,40,600.0,2025-07-26T10:01:07.030Z,equity
T00069,AMD,150,150.0,2025-07-26T10:01:08.070Z,equity
T00070,INTC,200,45.0,2025-07-26T10:01:09.030Z,fixed_income
T00071,CRM,50,220.0,2025-07-26T10:01:10.070Z,equity
T00072,ADBE,25,550.0,2025-07-26T10:01:11.030Z,fx
T00073,PYPL,80,90.0,2025-07-26T10:01:12.070Z,equity
T00074,CMCSA,120,40.0,2025-07-26T10:01:13.030Z,equity
T00075,SBUX,70,100.0,2025-07-26T10:01:14.070Z,equity
T00076,MSFT,100,300.0,2025-07-26T10:01:15.030Z,fx
T00077,GOOG,60,1600.0,2025-07-26T10:01:16.070Z,fx
T00078,AAPL,150,195.0,2025-07-26T10:01:17.030Z,fx
T00079,TSLA,25,860.0,2025-07-26T10:01:18.070Z,fixed_income
T00080,NVDA,12,1050.0,2025-07-26T10:01:19.030Z,fx
T00081,AAPL,100,190.5,2025-07-26T10:01:20.030Z,equity
T00082,GOOG,50,1500.2,2025-07-26T10:01:21.070Z,fx
T00083,MSFT,200,300.05,2025-07-26T10:01:22.000Z,fx
T00084,AMZN,75,120.0,2025-07-26T10:01:23.150Z,equity
T00085,TSLA,21,850.75,2025-07-26T10:01:24.000Z,fixed_income
T00086,NVDA,10,1000.0,2025-07-26T10:01:25.030Z,fx
T00087,META,30,250.0,2025-07-26T10:01:26.070Z,fixed_income
T00088,NFLX,40,600.0,2025-07-26T10:01:27.030Z,fixed_income
T00089,AMD,150,150.0,2025-07-26T10:01:28.070Z,fixed_income
T00090,INTC,200,45.0,2025-07-26T10:01:29.030Z,equity
T00091,CRM,50,220.0,2025-07-26T10:01:30.070Z,fixed_income
T00092,ADBE,25,550.0,2025-07-26T10:01:31.030Z,fixed_income
T00093,PYPL,80,90.0,2025-07-26T10:01:32.070Z,equity
T00094,CMCSA,120,40.0,2025-07-26T10:01:33.030Z,fixed_income
T00095,SBUX,70,100.0,2025-07-26T10:01:34.070Z,fixed_income
T00096,MSFT,100,300.0,2025-07-26T10:01:35.030Z,equity
T00097,GOOG,60,1600.0,2025-07-26T10:01:36.070Z,equity
T00098,AAPL,150,195.0,2025-07-26T10:01:37.030Z,fx
T00099,TSLA,25,860.0,2025-07-26T10:01:38.070Z,fx
T00100,NVDA,12,1050.0,2025-07-26T10:01:39.030Z,fx
T00101,AAPL,100,190.5,2025-07-26T10:01:40.030Z,fixed_income
T00102,GOOG,50,1500.2,2025-07-26T10:01:41.070Z,fixed_income
T00103,MSFT,200,300.05,2025-07-26T10:01:42.000Z,fixed_income
T00104,AMZN,75,120.0,2025-07-26T10:01:43.150Z,equity
T00105,TSLA,21,850.75,2025-07-26T10:01:44.000Z,fixed_income
T00106,NVDA,10,1000.0,2025-07-26T10:01:45.030Z,fx
T00107,META,30,250.0,2025-07-26T10:01:46.070Z,equity
T00108,NFLX,40,600.0,2025-07-26T10:01:47.030Z,equity
T00109,AMD,150,150.0,2025-07-26T10:01:48.070Z,equity
T00110,INTC,200,45.0,2025-07-26T10:01:49.030Z,fx
T00111,CRM,50,220.0,2025-07-26T10:01:50.070Z,fx
T00112,ADBE,25,550.0,2025-07-26T10:01:51.030Z,fx
T00113,PYPL,80,90.0,2025-07-26T10:01:52.070Z,equity
T00114,CMCSA,120,40.0,2025-07-26T10:01:53.030Z,equity
T00115,SBUX,70,100.0,2025-07-26T10:01:54.070Z,fixed_income
T00116,MSFT,100,300.0,2025-07-26T10:01:55.030Z,fixed_income
T00117,GOOG,60,1600.0,2025-07-26T10:01:56.070Z,fx
T00118,AAPL,150,195.0,2025-07-26T10:01:57.030Z,equity
T00119,TSLA,25,860.0,2025-07-26T10:01:58.070Z,fixed_income
T00120,NVDA,12,1050.0,2025-07-26T10:01:59.030Z,fx
T00121,AAPL,100,190.5,2025-07-26T10:02:00.030Z,fx
T00122,GOOG,50,1500.2,2025-07-26T10:02:01.070Z,fixed_income
T00123,MSFT,200,300.05,2025-07-26T10:02:02.000Z,fx
T00124,AMZN,75,120.0,2025-07-26T10:02:03.150Z,equity
T00125,TSLA,21,850.75,2025-07-26T10:02:04.000Z,fx
T00126,NVDA,10,1000.0,2025-07-26T10:02:05.030Z,equity
T00127,META,30,250.0,2025-07-26T10:02:06.070Z,equity
T00128,NFLX,40,600.0,2025-07-26T10:02:07.030Z,fixed_income
T00129,AMD,150,150.0,2025-07-26T10:02:08.070Z,fixed_income
T00130,INTC,200,45.0,2025-07-26T10:02:09.030Z,fixed_income
T00131,CRM,50,220.0,2025-07-26T10:02:10.070Z,fx
T00132,ADBE,25,550.0,2025-07-26T10:02:11.030Z,fixed_income
T00133,PYPL,80,90.0,2025-07-26T10:02:12.070Z,fixed_income
T00134,CMCSA,120,40.0,2025-07-26T10:02:13.030Z,fx
T00135,SBUX,70,100.0,2025-07-26T10:02:14.070Z,fixed_income
T00136,MSFT,100,300.0,2025-07-26T10:02:15.030Z,fx
T00137,GOOG,60,1600.0,2025-07-26T10:02:16.070Z,fx
T00138,AAPL,150,195.0,2025-07-26T10:02:17.030Z,equity
T00139,TSLA,25,860.0,2025-07-26T10:02:18.070Z,equity
T00140,NVDA,12,1050.0,2025-07-26T10:02:19.030Z,fixed_income
T00141,AAPL,100,190.5,2025-07-26T10:02:20.030Z,fx
T00142,GOOG,50,1500.2,2025-07-26T10:02:21.070Z,equity
T00143,MSFT,200,300.05,2025-07-26T10:02:22.000Z,equity
T00144,AMZN,75,120.0,2025-07-26T10:02:23.150Z,equity
T00145,TSLA,21,850.75,2025-07-26T10:02:24.000Z,equity
T00146,NVDA,10,1000.0,2025-07-26T10:02:25.030Z,fixed_income
T00147,META,30,250.0,2025-07-26T10:02:26.070Z,equity
T00148,NFLX,40,600.0,2025-07-26T10:02:27.030Z,fixed_income
T00149,AMD,150,150.0,2025-07-26T10:02:28.070Z,fx
T00150,INTC,200,45.0,2025-07-26T10:02:29.030Z,fixed_income
